@relation fly-threshold5-TEST-3-fold

@attribute GO:0000045 {0,1}
@attribute GO:0000422 {0,1}
@attribute GO:0006914 {0,1}
@attribute GO:0008340 {0,1}
@attribute GO:0009267 {0,1}
@attribute GO:0010506 {0,1}
@attribute GO:0016236 {0,1}
@attribute GO:0035096 {0,1}
@attribute GO:0043066 {0,1}
@attribute GO:0048477 {0,1}
@attribute GO:0046622 {0,1}
@attribute GO:0006727 {0,1}
@attribute GO:0006897 {0,1}
@attribute GO:0007220 {0,1}
@attribute GO:0016192 {0,1}
@attribute GO:0046907 {0,1}
@attribute GO:0048072 {0,1}
@attribute GO:0034976 {0,1}
@attribute GO:0035206 {0,1}
@attribute GO:0036335 {0,1}
@attribute GO:0042542 {0,1}
@attribute GO:0042744 {0,1}
@attribute GO:0048167 {0,1}
@attribute GO:0055114 {0,1}
@attribute GO:0007476 {0,1}
@attribute GO:0006468 {0,1}
@attribute GO:0008344 {0,1}
@attribute GO:0007616 {0,1}
@attribute GO:0045214 {0,1}
@attribute GO:0048149 {0,1}
@attribute GO:0008284 {0,1}
@attribute GO:0008286 {0,1}
@attribute GO:0008355 {0,1}
@attribute GO:0014068 {0,1}
@attribute GO:0035264 {0,1}
@attribute GO:0040018 {0,1}
@attribute GO:0042593 {0,1}
@attribute GO:0042594 {0,1}
@attribute GO:0045793 {0,1}
@attribute GO:0055088 {0,1}
@attribute GO:1903688 {0,1}
@attribute GO:0006979 {0,1}
@attribute GO:0014065 {0,1}
@attribute GO:0042981 {0,1}
@attribute GO:0045892 {0,1}
@attribute GO:0045893 {0,1}
@attribute GO:0007614 {0,1}
@attribute GO:0007623 {0,1}
@attribute GO:0019933 {0,1}
@attribute GO:0009408 {0,1}
@attribute GO:0016458 {0,1}
@attribute GO:0007298 {0,1}
@attribute GO:0000122 {0,1}
@attribute GO:0006357 {0,1}
@attribute GO:0006629 {0,1}
@attribute GO:0016319 {0,1}
@attribute GO:0042632 {0,1}
@attribute GO:0045944 {0,1}
@attribute GO:0048813 {0,1}
@attribute GO:0001745 {0,1}
@attribute GO:0006355 {0,1}
@attribute GO:0008285 {0,1}
@attribute GO:0010508 {0,1}
@attribute GO:0030308 {0,1}
@attribute GO:0034599 {0,1}
@attribute GO:0036099 {0,1}
@attribute GO:0040014 {0,1}
@attribute GO:0045475 {0,1}
@attribute GO:0045792 {0,1}
@attribute GO:0046620 {0,1}
@attribute GO:0046627 {0,1}
@attribute GO:0048542 {0,1}
@attribute GO:2000253 {0,1}
@attribute GO:0006750 {0,1}
@attribute GO:0032007 {0,1}
@attribute GO:0035069 {0,1}
@attribute GO:0051726 {0,1}
@attribute GO:1904262 {0,1}
@attribute GO:2000331 {0,1}
@attribute GO:0000302 {0,1}
@attribute GO:0001666 {0,1}
@attribute GO:0045454 {0,1}
@attribute GO:0042026 {0,1}
@attribute GO:0061077 {0,1}
@attribute GO:0050832 {0,1}
@attribute GO:0007399 {0,1}
@attribute GO:0007411 {0,1}
@attribute GO:0007424 {0,1}
@attribute GO:0010507 {0,1}
@attribute GO:0030307 {0,1}
@attribute GO:0030707 {0,1}
@attribute GO:0033500 {0,1}
@attribute GO:0042127 {0,1}
@attribute GO:0070328 {0,1}
@attribute GO:0007186 {0,1}
@attribute GO:0007391 {0,1}
@attribute GO:0007417 {0,1}
@attribute GO:0007608 {0,1}
@attribute GO:0030718 {0,1}
@attribute GO:0010628 {0,1}
@attribute GO:0045879 {0,1}
@attribute GO:0006470 {0,1}
@attribute GO:0042060 {0,1}
@attribute GO:0010821 {0,1}
@attribute GO:0006342 {0,1}
@attribute GO:0016575 {0,1}
@attribute GO:0030536 {0,1}
@attribute GO:0032869 {0,1}
@attribute GO:0035556 {0,1}
@attribute GO:0048010 {0,1}
@attribute GO:0001558 {0,1}
@attribute GO:0014067 {0,1}
@attribute GO:0030968 {0,1}
@attribute GO:0007005 {0,1}
@attribute GO:0045572 {0,1}
@attribute GO:0007259 {0,1}
@attribute GO:0000165 {0,1}
@attribute GO:0090141 {0,1}
@attribute GO:0032924 {0,1}
@attribute GO:0045464 {0,1}
@attribute GO:0060395 {0,1}
@attribute GO:0030509 {0,1}
@attribute GO:0007210 {0,1}
@attribute class {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
