@RELATION fly-CC_fold_9_tst

@ATTRIBUTE "longevity influence" {0,1}
@ATTRIBUTE GO:0005634 {0,1}
@ATTRIBUTE GO:0015030 {0,1}
@ATTRIBUTE GO:1990904 {0,1}
@ATTRIBUTE GO:0005764 {0,1}
@ATTRIBUTE GO:0005768 {0,1}
@ATTRIBUTE GO:0030897 {0,1}
@ATTRIBUTE GO:0031594 {0,1}
@ATTRIBUTE GO:0033263 {0,1}
@ATTRIBUTE GO:0045202 {0,1}
@ATTRIBUTE GO:0016012 {0,1}
@ATTRIBUTE GO:0016020 {0,1}
@ATTRIBUTE GO:0043034 {0,1}
@ATTRIBUTE GO:0005739 {0,1}
@ATTRIBUTE GO:0005783 {0,1}
@ATTRIBUTE GO:0005737 {0,1}
@ATTRIBUTE GO:0005856 {0,1}
@ATTRIBUTE GO:0005886 {0,1}
@ATTRIBUTE GO:0005912 {0,1}
@ATTRIBUTE GO:0005925 {0,1}
@ATTRIBUTE GO:0015629 {0,1}
@ATTRIBUTE GO:0044291 {0,1}
@ATTRIBUTE GO:0098592 {0,1}
@ATTRIBUTE GO:0005615 {0,1}
@ATTRIBUTE GO:0005829 {0,1}
@ATTRIBUTE GO:0048471 {0,1}
@ATTRIBUTE GO:0032991 {0,1}
@ATTRIBUTE GO:0035363 {0,1}
@ATTRIBUTE GO:0005654 {0,1}
@ATTRIBUTE GO:0030117 {0,1}
@ATTRIBUTE GO:0030123 {0,1}
@ATTRIBUTE GO:0000806 {0,1}
@ATTRIBUTE GO:0005759 {0,1}
@ATTRIBUTE GO:0016006 {0,1}
@ATTRIBUTE GO:0031315 {0,1}
@ATTRIBUTE GO:0030131 {0,1}
@ATTRIBUTE GO:0031410 {0,1}
@ATTRIBUTE GO:0043231 {0,1}
@ATTRIBUTE GO:0044298 {0,1}
@ATTRIBUTE GO:0005667 {0,1}
@ATTRIBUTE GO:0071144 {0,1}
@ATTRIBUTE GO:0005747 {0,1}
@ATTRIBUTE GO:1990221 {0,1}
@ATTRIBUTE GO:0000139 {0,1}
@ATTRIBUTE GO:0012505 {0,1}
@ATTRIBUTE GO:0000421 {0,1}
@ATTRIBUTE GO:0005776 {0,1}
@ATTRIBUTE GO:0044753 {0,1}
@ATTRIBUTE GO:0044754 {0,1}
@ATTRIBUTE GO:0061174 {0,1}
@ATTRIBUTE GO:0009898 {0,1}
@ATTRIBUTE GO:0005788 {0,1}
@ATTRIBUTE GO:0034663 {0,1}
@ATTRIBUTE GO:0032590 {0,1}
@ATTRIBUTE GO:0045211 {0,1}
@ATTRIBUTE GO:0030018 {0,1}
@ATTRIBUTE GO:0005741 {0,1}
@ATTRIBUTE GO:0005576 {0,1}
@ATTRIBUTE GO:0031252 {0,1}
@ATTRIBUTE GO:0035230 {0,1}
@ATTRIBUTE GO:0098898 {0,1}
@ATTRIBUTE GO:0005874 {0,1}
@ATTRIBUTE GO:0036464 {0,1}
@ATTRIBUTE GO:0090571 {0,1}
@ATTRIBUTE GO:0098978 {0,1}
@ATTRIBUTE GO:0048786 {0,1}
@ATTRIBUTE GO:0009331 {0,1}
@ATTRIBUTE GO:0031430 {0,1}
@ATTRIBUTE GO:0000775 {0,1}
@ATTRIBUTE GO:0000779 {0,1}
@ATTRIBUTE GO:0000781 {0,1}
@ATTRIBUTE GO:0000791 {0,1}
@ATTRIBUTE GO:0000792 {0,1}
@ATTRIBUTE GO:0000793 {0,1}
@ATTRIBUTE GO:0005694 {0,1}
@ATTRIBUTE GO:0005700 {0,1}
@ATTRIBUTE GO:0005701 {0,1}
@ATTRIBUTE GO:0005703 {0,1}
@ATTRIBUTE GO:0005705 {0,1}
@ATTRIBUTE GO:0005721 {0,1}
@ATTRIBUTE GO:0010369 {0,1}
@ATTRIBUTE GO:0005952 {0,1}
@ATTRIBUTE GO:0030425 {0,1}
@ATTRIBUTE GO:0043005 {0,1}
@ATTRIBUTE GO:0043025 {0,1}
@ATTRIBUTE GO:0044297 {0,1}
@ATTRIBUTE GO:0000785 {0,1}
@ATTRIBUTE GO:0035097 {0,1}
@ATTRIBUTE GO:0035098 {0,1}
@ATTRIBUTE GO:0010494 {0,1}
@ATTRIBUTE GO:0016363 {0,1}
@ATTRIBUTE GO:0005637 {0,1}
@ATTRIBUTE GO:0033553 {0,1}
@ATTRIBUTE GO:0000221 {0,1}
@ATTRIBUTE GO:0033181 {0,1}
@ATTRIBUTE GO:0005813 {0,1}
@ATTRIBUTE GO:0031422 {0,1}
@ATTRIBUTE GO:0000228 {0,1}
@ATTRIBUTE GO:0000805 {0,1}
@ATTRIBUTE GO:0005622 {0,1}
@ATTRIBUTE GO:0005730 {0,1}
@ATTRIBUTE GO:0016456 {0,1}
@ATTRIBUTE GO:0072487 {0,1}
@ATTRIBUTE GO:0008230 {0,1}
@ATTRIBUTE GO:0008231 {0,1}
@ATTRIBUTE GO:0008232 {0,1}
@ATTRIBUTE GO:0005743 {0,1}
@ATTRIBUTE GO:0005749 {0,1}
@ATTRIBUTE GO:0031966 {0,1}
@ATTRIBUTE GO:0048179 {0,1}
@ATTRIBUTE GO:0005604 {0,1}
@ATTRIBUTE GO:0005853 {0,1}
@ATTRIBUTE GO:0016607 {0,1}
@ATTRIBUTE GO:0016533 {0,1}
@ATTRIBUTE GO:0000974 {0,1}
@ATTRIBUTE GO:0005681 {0,1}
@ATTRIBUTE GO:0071006 {0,1}
@ATTRIBUTE GO:0071011 {0,1}
@ATTRIBUTE GO:0071013 {0,1}
@ATTRIBUTE GO:0000407 {0,1}
@ATTRIBUTE GO:0005635 {0,1}
@ATTRIBUTE GO:0005777 {0,1}
@ATTRIBUTE GO:0061908 {0,1}
@ATTRIBUTE GO:0030424 {0,1}
@ATTRIBUTE GO:0016581 {0,1}
@ATTRIBUTE GO:0017053 {0,1}
@ATTRIBUTE GO:0031523 {0,1}
@ATTRIBUTE GO:0070822 {0,1}
@ATTRIBUTE GO:0005769 {0,1}
@ATTRIBUTE GO:0005794 {0,1}
@ATTRIBUTE GO:0005802 {0,1}
@ATTRIBUTE GO:0055037 {0,1}
@ATTRIBUTE GO:0034045 {0,1}
@ATTRIBUTE GO:1990316 {0,1}
@ATTRIBUTE GO:0005753 {0,1}
@ATTRIBUTE GO:0005754 {0,1}
@ATTRIBUTE GO:0045261 {0,1}
@ATTRIBUTE GO:0005666 {0,1}
@ATTRIBUTE GO:0033596 {0,1}
@ATTRIBUTE GO:0005778 {0,1}
@ATTRIBUTE GO:0000151 {0,1}
@ATTRIBUTE GO:0005929 {0,1}
@ATTRIBUTE GO:0030175 {0,1}
@ATTRIBUTE GO:0044295 {0,1}
@ATTRIBUTE GO:0045281 {0,1}
@ATTRIBUTE GO:0005938 {0,1}
@ATTRIBUTE GO:0031463 {0,1}
@ATTRIBUTE GO:0005884 {0,1}
@ATTRIBUTE GO:0035182 {0,1}
@ATTRIBUTE GO:0035183 {0,1}
@ATTRIBUTE GO:0035324 {0,1}
@ATTRIBUTE GO:0045179 {0,1}
@ATTRIBUTE GO:0070938 {0,1}
@ATTRIBUTE GO:0045172 {0,1}
@ATTRIBUTE GO:0016010 {0,1}
@ATTRIBUTE GO:0030054 {0,1}
@ATTRIBUTE GO:0030864 {0,1}
@ATTRIBUTE GO:0042995 {0,1}
@ATTRIBUTE GO:1990604 {0,1}
@ATTRIBUTE GO:0005942 {0,1}
@ATTRIBUTE GO:0005943 {0,1}
@ATTRIBUTE GO:0031588 {0,1}
@ATTRIBUTE GO:0005899 {0,1}
@ATTRIBUTE GO:0045169 {0,1}
@ATTRIBUTE GO:0045170 {0,1}
@ATTRIBUTE GO:0005750 {0,1}
@ATTRIBUTE GO:1990794 {0,1}
@ATTRIBUTE GO:0036409 {0,1}
@ATTRIBUTE GO:0010008 {0,1}
@ATTRIBUTE GO:0000275 {0,1}
@ATTRIBUTE GO:0005756 {0,1}
@ATTRIBUTE GO:0005770 {0,1}
@ATTRIBUTE GO:0005795 {0,1}
@ATTRIBUTE GO:0005798 {0,1}
@ATTRIBUTE GO:0043195 {0,1}
@ATTRIBUTE GO:0098830 {0,1}
@ATTRIBUTE GO:0005927 {0,1}
@ATTRIBUTE GO:0008305 {0,1}
@ATTRIBUTE GO:0009925 {0,1}
@ATTRIBUTE GO:0009986 {0,1}
@ATTRIBUTE GO:0016328 {0,1}
@ATTRIBUTE GO:0042734 {0,1}
@ATTRIBUTE GO:0031982 {0,1}
@ATTRIBUTE GO:0031931 {0,1}
@ATTRIBUTE GO:0031932 {0,1}
@ATTRIBUTE GO:0001725 {0,1}
@ATTRIBUTE GO:0017109 {0,1}
@ATTRIBUTE GO:0005575 {0,1}
@ATTRIBUTE GO:0005760 {0,1}
@ATTRIBUTE GO:0016442 {0,1}

@DATA
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
